Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
1,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F4756    ,9.62,-38.69
1,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F4760    ,10.52,-39.11
1,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCB3F476C    ,11.50,-39.71
1,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F4961    ,12.46,-39.70
1,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F496D    ,13.48,-40.00
1,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F497A    ,14.43,-40.03
1,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xCC3F4989    ,15.41,-39.85
1,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B77    ,16.05,-38.53
1,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B85    ,16.98,-37.83
1,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4B95    ,17.91,-36.12
1,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xD53F4BA7    ,18.86,-33.48
1,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D7B    ,19.80,-31.46
1,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4D8A    ,20.71,-30.24
1,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4D9B    ,21.56,-29.59
1,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDE3F4DAE    ,22.34,-29.00
1,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F98    ,22.90,-27.84
7,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCB3F4761    ,9.00,-39.88
7,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCB3F476D    ,10.07,-40.42
7,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,11.06,-39.63
7,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,12.07,-40.07
7,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,13.05,-40.18
7,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,13.99,-40.02
7,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B6B    ,14.81,-40.74
7,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B78    ,15.78,-40.27
7,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xD53F4B86    ,16.69,-39.09
7,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xD53F4B97    ,17.68,-36.57
7,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D6A    ,18.65,-34.03
7,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D77    ,19.56,-32.28
7,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDE3F4D85    ,20.41,-30.60
7,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDE3F4D95    ,21.25,-29.76
7,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F81    ,22.17,-28.21
7,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F91    ,22.86,-27.93
13,5 11,1 1,40000,10,r 403422c8  [0x403422C8] = 0xCC3F4961    ,9.55,-40.15
13,5 11,1 1,40000,11,r 403422c8  [0x403422C8] = 0xCC3F496D    ,10.61,-40.58
13,5 11,1 1,40000,12,r 403422c8  [0x403422C8] = 0xCC3F497A    ,11.62,-40.65
13,5 11,1 1,40000,13,r 403422c8  [0x403422C8] = 0xCC3F4989    ,12.61,-40.51
13,5 11,1 1,40000,14,r 403422c8  [0x403422C8] = 0xD53F4B64    ,13.40,-40.06
13,5 11,1 1,40000,15,r 403422c8  [0x403422C8] = 0xD53F4B71    ,14.45,-40.72
13,5 11,1 1,40000,16,r 403422c8  [0x403422C8] = 0xD53F4B7F    ,15.43,-40.34
13,5 11,1 1,40000,17,r 403422c8  [0x403422C8] = 0xD53F4B8E    ,16.37,-39.36
13,5 11,1 1,40000,18,r 403422c8  [0x403422C8] = 0xDE3F4D60    ,17.38,-35.80
13,5 11,1 1,40000,19,r 403422c8  [0x403422C8] = 0xDE3F4D6B    ,18.26,-34.95
13,5 11,1 1,40000,20,r 403422c8  [0x403422C8] = 0xDE3F4D78    ,19.18,-33.07
13,5 11,1 1,40000,21,r 403422c8  [0x403422C8] = 0xDE3F4D87    ,20.10,-31.10
13,5 11,1 1,40000,22,r 403422c8  [0x403422C8] = 0xDF3F4F6C    ,20.95,-29.18
13,5 11,1 1,40000,23,r 403422c8  [0x403422C8] = 0xDF3F4F79    ,21.74,-28.37
13,5 11,1 1,40000,24,r 403422c8  [0x403422C8] = 0xDF3F4F88    ,22.48,-28.25
13,5 11,1 1,40000,25,r 403422c8  [0x403422C8] = 0xDF3F4F99    ,23.14,-27.67
