Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
138,0,4,2,7,15,12.45,-29.55
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,2,7,15,12.45,-36.37
42,1,4,2,7,15,12.68,-35.93
42,2,4,2,7,15,12.86,-34.67
42,3,4,2,7,15,13.03,-32.33
42,4,4,2,7,15,13.18,-30.35
42,5,4,2,7,15,13.18,-30.35
42,6,4,2,7,15,13.18,-30.33
42,7,4,2,7,15,13.18,-30.36
58,0,4,2,7,15,11.87,-29.60
58,1,4,2,7,15,12.11,-29.65
58,2,4,2,7,15,12.28,-29.99
58,3,4,2,7,15,12.44,-31.40
58,4,4,2,7,15,12.52,-37.05
58,5,4,2,7,15,12.52,-36.98
58,6,4,2,7,15,12.52,-37.00
58,7,4,2,7,15,12.51,-36.95
106,0,4,2,7,15,12.22,-28.52
106,1,4,2,7,15,12.37,-29.15
106,2,4,2,7,15,12.39,-30.18
106,3,4,2,7,15,12.27,-32.44
106,4,4,2,7,15,12.01,-34.86
106,5,4,2,7,15,12.01,-34.93
106,6,4,2,7,15,12.02,-34.92
106,7,4,2,7,15,12.05,-35.29
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,2,7,15,12.44,-36.10
42,1,4,2,7,15,12.68,-36.05
42,2,4,2,7,15,12.87,-35.74
42,3,4,2,7,15,13.08,-35.42
42,4,4,2,7,15,13.07,-35.13
42,5,4,2,7,15,13.07,-34.97
42,6,4,2,7,15,13.08,-35.50
42,7,4,2,7,15,13.07,-34.68
58,0,4,2,7,15,12.28,-36.50
58,1,4,2,7,15,12.57,-37.40
58,2,4,2,7,15,12.75,-36.66
58,3,4,2,7,15,12.72,-36.26
58,4,4,2,7,15,12.55,-37.53
58,5,4,2,7,15,12.51,-36.35
58,6,4,2,7,15,12.49,-36.08
58,7,4,2,7,15,12.47,-36.21
106,0,4,2,7,15,13.16,-36.99
106,1,4,2,7,15,12.98,-37.60
106,2,4,2,7,15,12.65,-37.41
106,3,4,2,7,15,12.29,-36.59
106,4,4,2,7,15,12.04,-36.03
106,5,4,2,7,15,12.01,-35.10
106,6,4,2,7,15,12.01,-35.40
106,7,4,2,7,15,12.05,-35.51
122,0,4,2,7,15,12.80,-38.37
122,1,4,2,7,15,12.48,-38.81
122,2,4,2,7,15,12.09,-37.88
122,3,4,2,7,15,11.74,-36.75
122,4,4,2,7,15,11.42,-35.83
122,5,4,2,7,15,11.41,-36.35
122,6,4,2,7,15,11.43,-36.45
122,7,4,2,7,15,11.42,-36.39
138,0,4,2,7,15,12.83,-38.47
138,1,4,2,7,15,12.48,-38.87
138,2,4,2,7,15,12.15,-39.10
138,3,4,2,7,15,11.76,-39.11
138,4,4,2,7,15,11.58,-39.05
138,5,4,2,7,15,11.52,-38.88
138,6,4,2,7,15,11.52,-38.78
138,7,4,2,7,15,11.52,-38.43
155,0,4,2,7,15,12.01,-38.74
155,1,4,2,7,15,11.70,-38.96
155,2,4,2,7,15,11.36,-38.58
155,3,4,2,7,15,11.06,-38.96
155,4,4,2,7,15,10.69,-39.04
155,5,4,2,7,15,10.75,-39.04
155,6,4,2,7,15,10.77,-38.92
155,7,4,2,7,15,10.78,-39.11
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,0,2,7,15,12.46,-35.76
42,0,2,2,7,15,12.44,-35.35
42,0,4,2,7,15,12.45,-36.15
42,0,6,2,7,15,12.42,-35.37
42,0,8,2,7,15,12.45,-36.08
