42,0,0,2,3,10.54,-29.75
42,1,1,2,3,11.23,-30.67
42,2,2,2,3,11.82,-31.57
42,3,3,2,3,12.24,-32.69
42,4,4,2,3,12.62,-33.89
42,5,5,2,3,12.94,-34.93
42,6,6,2,3,13.17,-35.94
42,7,7,2,3,13.36,-36.72
42,0,0,2,2,10.60,-29.91
42,1,1,2,2,11.26,-30.58
42,2,2,2,2,11.81,-31.63
42,3,3,2,2,12.26,-32.78
42,4,4,2,2,12.64,-33.76
42,5,5,2,2,12.93,-34.92
42,6,6,2,2,13.18,-35.95
42,7,7,2,2,13.38,-36.62
42,0,0,3,3,12.18,-30.42
42,1,1,3,3,12.72,-31.10
42,2,2,3,3,13.19,-31.76
42,3,3,3,3,13.50,-32.67
42,4,4,3,3,13.82,-33.30
42,5,5,3,3,14.05,-34.02
42,6,6,3,3,14.22,-35.01
42,7,7,3,3,14.41,-35.24
42,0,0,1,1,8.34,-28.79
42,1,1,1,1,9.37,-29.54
42,2,2,1,1,10.17,-30.27
42,3,3,1,1,10.74,-31.27
42,4,4,1,1,11.22,-32.39
42,5,5,1,1,11.61,-33.56
42,6,6,1,1,11.94,-34.95
42,7,7,1,1,12.21,-36.09
